time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-20T13:51:17.200Z,16.0903,119.6652,50.18,5,mb,,42,6.823,0.85,us,us200082tu,2022-05-03T18:06:57.568Z,"13 km WSW of Aloleng, Philippines",earthquake,8.6,6.8,0.048,138,reviewed,us,us
2016-10-12T01:39:24.980Z,13.6122,120.7971,124.01,5.2,mb,,41,0.505,1.04,us,us20007dbj,2022-04-14T03:47:47.677Z,"9 km SW of Tingloy, Philippines",earthquake,7.7,4.3,0.042,191,reviewed,us,us
2016-10-08T07:32:49.370Z,13.6579,120.7072,118.7,5.1,mb,,95,0.494,1.11,us,us20007crs,2017-01-07T00:20:45.040Z,"17 km W of Tingloy, Philippines",earthquake,5.9,5.7,0.075,58,reviewed,us,us
2016-10-02T13:40:04.750Z,16.4787,119.7489,10,5.4,mww,,51,2.626,0.88,us,us10006ui7,2022-05-03T18:00:57.376Z,"17 km NW of Balingasay, Philippines",earthquake,4.9,1.6,,,reviewed,us,us
2016-06-10T18:52:08.520Z,16.5545,121.0118,36.67,5.1,mb,,31,6.231,1.05,us,us200063mg,2022-08-03T01:24:40.742Z,"14 km NW of Busilak, Philippines",earthquake,7.6,5.1,0.037,240,reviewed,us,us
2016-06-09T19:54:34.440Z,16.5742,121.0986,8,5.4,mww,,42,2.462,0.88,us,us2000638s,2016-08-18T00:36:37.040Z,"5 km WNW of Uddiawan, Philippines",earthquake,7.3,1.7,,,reviewed,us,us
2016-02-05T05:00:46.740Z,13.7942,122.3308,10,5.3,mb,,76,1.387,0.79,us,us20004xzs,2016-11-10T22:11:26.403Z,"4 km E of San Francisco, Philippines",earthquake,6.4,1.8,0.06,94,reviewed,us,us
2016-02-04T22:41:37.680Z,13.8147,122.2589,27.79,5.2,mb,,35,1.315,0.79,us,us20004xxv,2022-08-02T08:38:18.367Z,"4 km NW of San Francisco, Philippines",earthquake,1.7,4.4,0.046,153,reviewed,us,us
2015-12-17T12:44:03.130Z,17.7537,120.5815,69.65,5.3,mww,,20,3.646,1.2,us,us100047wy,2022-08-01T23:48:51.795Z,"13 km E of San Juan, Philippines",earthquake,7.3,4.6,,,reviewed,us,us
2015-11-07T19:40:13.550Z,16.4895,119.8464,37,5.5,mww,,27,6.401,0.84,us,us10003vl4,2022-08-01T16:35:06.714Z,"11 km NW of Binabalian, Philippines",earthquake,6.9,1.8,,,reviewed,us,us
